Days To Maturity,Strike,Mid,IVM
67,3.8,1.669999599,61.1990509
67,3.85,1.619999409,59.4011116
67,3.9,1.569999218,57.62042999
67,3.95,1.519999504,55.85792542
67,4,1.479999542,56.98060989
67,4.1,1.379999638,53.4025116
67,4.2,1.289999485,52.32383728
67,4.3,1.199999332,50.94102097
67,4.4,1.109999657,49.30943298
67,4.5,1.029999733,49.24498367
67,4.6,0.93999958,47.06907272
67,4.7,0.859999657,46.24895859
67,4.8,0.779999971,45.060215
67,4.9,0.710000038,44.85969162
67,5,0.639999986,44.20727921
67,5.1,0.555000007,41.37777328
67,5.2,0.495000005,41.14877701
67,5.3,0.435000002,40.46353149
67,5.4,0.38499999,40.42523193
67,5.5,0.324999988,38.85097504
67,5.6,0.284999996,38.97959137
67,5.7,0.254999995,39.76254654
67,5.8,0.214999974,39.01705933
67,5.9,0.189999968,39.55379486
67,6,0.164999992,39.72290421
67,6.1,0.144999981,40.15482712
67,6.2,0.129999965,40.93163681
67,6.3,0.109999985,40.7122612
67,6.4,0.099999964,41.65503693
67,6.5,0.155000001,52.03102112
67,6.6,0.155000001,54.44125748
67,3.8,1.674999714,61.00525284
67,3.85,1.625,59.21460342
67,3.9,1.574999332,57.44121933
67,3.95,1.524999619,55.68489075
67,4,1.480000019,55.42459488
67,4.1,1.384999752,53.28078842
67,4.2,1.295000076,52.23406982
67,4.3,1.204999924,50.88144684
67,4.4,1.109999657,48.27444077
67,4.5,1.019999981,46.52316666
67,4.6,0.939999998,46.25182343
67,4.7,0.860000014,45.52184296
67,4.8,0.774999976,43.69495392
67,4.9,0.700000048,42.95375061
67,5,0.625,41.81240082
67,5.1,0.560000002,41.49295044
67,5.2,0.495000005,40.71914673
67,5.3,0.435000002,40.07327652
67,5.4,0.380000025,39.52695847
67,5.5,0.330000013,39.06459045
67,5.6,0.289999992,39.22377396
67,5.7,0.25,38.93651962
67,5.8,0.215000004,38.76024246
67,5.9,0.189999968,39.31391907
67,6,0.165000021,39.49765396
67,6.1,0.150000006,40.58302307
67,6.2,0.129999995,40.72847366
67,6.3,0.11500001,41.24145889
67,6.4,0.099999994,41.46869659
67,6.5,0.090000004,42.20474243
67,6.6,0.079999983,42.72226715
67,6.7,0.069999985,43.00720215
676,0.8,4.644999981,83.19508362
676,1,4.424999714,0
676,1.2,4.25,66.15757751
676,1.4,4.065000057,64.37711334
676,1.6,3.875,60.50805664
676,1.8,3.690000057,57.84886169
676,2,3.504999638,55.06668091
676,2.4,3.150000095,51.30420685
676,2.8,2.845000267,51.23395538
676,3.2,2.46999979,44.64017487
676,3.6,2.154999733,42.13276291
676,4,1.884999275,41.22551727
676,4.8,1.419999599,39.7740593
676,5.6,1.049999952,38.63003159
676,6.4,0.75999999,37.5524826
676,7.2,0.569999993,37.66533661
676,8,0.424999982,37.60755157
676,10,0.229999989,38.71816254
4,0.01,0,0
4,3.8,1.684999943,271.4434204
4,3.85,1.634999752,263.6828003
4,3.9,1.584999561,255.9962769
4,3.95,1.534999847,248.3827515
4,4,1.484999657,240.832428
4,4.1,1.384999752,225.9196777
4,4.2,1.284999847,211.2313995
4,4.3,1.190000057,201.3575439
4,4.4,1.089999676,186.8110657
4,4.5,0.98999995,172.3938446
4,4.6,0.88499999,154.0836334
4,4.7,0.784999967,140.010376
4,4.8,0.684999943,125.9325485
4,4.9,0.595000029,118.3849106
4,5,0.485000014,97.44019318
4,5.1,0.379999995,79.84873962
4,5.2,0.254999995,50.58351135
4,5.3,0.164999992,41.44428253
4,5.4,0.11499998,46.28704834
4,5.5,0.11499998,66.47145844
4,5.6,0.11499998,83.29554749
4,5.7,0.019999998,45.66152573
4,5.8,0.300000012,199.0671692
4,5.9,0.300000012,213.7445526
4,6,0.029999997,83.35443115
4,6.1,0.300000012,240.881897
4,6.2,0.02,91.26789856
4,6.3,0.300000012,265.6600037
4,6.4,0.02,106.9174576
4,6.5,0.300000012,288.5657959
4,6.6,0.02,121.5850601
4,6.7,0.300000012,309.9229736
4,7.6,0.02,184.5123138
4,8,0.02,206.1227417
4,0.01,5.424999714,5100.974609
4,3.8,1.624999523,0
4,3.85,1.574999809,0
4,3.9,1.524999619,0
4,3.95,1.474999905,0
4,4,1.424999714,0
4,4.1,1.324999809,0
4,4.2,1.224999905,0
4,4.3,1.125,0
4,4.4,1.024999619,0
4,4.5,0.929999948,89.06181335
4,4.6,0.830000043,80.02043915
4,4.7,0.730000019,71.06145477
4,4.8,0.629999995,62.1596489
4,4.9,0.534999967,62.79047775
4,5,0.440000027,58.90037918
4,5.1,0.340000004,47.97896957
4,5.2,0.25000003,44.21472168
4,5.3,0.164999992,39.22665787
4,5.4,0.099999994,38.15795135
4,5.5,0.054999996,38.11328125
4,5.6,0.029999999,39.92422485
4,5.7,0.020000001,44.97982788
4,5.8,0.020000001,55.18154144
4,5.9,0.020000001,64.73149109
4,6,0.030000001,82.70271301
4,6.1,0.030000001,91.90071106
4,6.2,0.02,90.68515015
4,6.3,0.010000002,84.93666077
4,6.4,0.02,106.3546143
4,6.5,0.02,113.807106
4,6.6,0.02,121.0357742
4,6.7,0.02,128.0588379
4,6.8,0.02,134.8917084
4,6.9,0.02,141.5476379
4,7,0.02,148.0380859
4,7.1,0.02,154.3731842
4,7.2,0.02,160.5618744
4,7.3,0.02,166.6121979
4,7.5,0.02,178.3258514
4,7.8,0.02,195.0187378
4,8,0.02,205.6210938
4,8.2,0.02,215.8419037
4,8.4,0.02,225.7099152
4,11,0.02,330.4390869
214,1.7,3.755000114,86.70394897
214,1.8,3.654999733,82.60657501
214,1.9,3.56499958,83.24607086
214,2,3.464999676,79.43164825
214,2.2,3.274999619,75.89089966
214,2.4,3.079999924,70.74445343
214,2.6,2.894999504,68.40364838
214,2.8,2.699999809,63.52580261
214,3,2.519999504,61.7427063
214,3.2,2.334999561,58.68250275
214,3.4,2.15500021,56.19540405
214,3.6,1.974999428,53.45398331
214,3.8,1.809999466,52.1816864
214,4,1.63999939,49.91612244
214,4.4,1.339999199,47.78380585
214,4.8,1.059999704,45.17005157
214,5.2,0.824999869,43.60780334
214,5.6,0.629999995,42.45986938
214,6,0.465000004,41.11684418
214,6.4,0.349999994,40.96738815
214,6.8,0.280000001,42.18243408
214,7.2,0.209999979,42.08968735
214,7.6,0.164999992,42.75668716
214,8,0.129999965,43.35033035
214,9,0.079999976,45.62995911
214,10,0.054999992,48.22906113
214,11,0.044999994,51.72415924
214,12,0.039999999,55.33267212
214,1.7,3.760000229,86.23052979
214,1.8,3.664999962,84.62523651
214,1.9,3.565000057,80.69280243
214,2,3.464999676,76.97709656
214,2.2,3.275000095,73.89793396
214,2.4,3.085000038,70.51617432
214,2.6,2.899999619,68.22904968
214,2.8,2.710000038,64.46365356
214,3,2.519999981,60.69801331
214,3.2,2.335000038,57.78004074
214,3.4,2.15500021,55.42185211
214,3.6,1.979999542,53.41296005
214,3.8,1.809999943,51.60895157
214,4,1.639999866,49.41623688
214,4.4,1.335000038,47.00466156
214,4.8,1.065000057,45.224617
214,5.2,0.825000048,43.37404633
214,5.6,0.625,41.96549988
214,6,0.469999999,41.26176071
