Date,r0,"long term mean, γ",RSS,"discrete drift, Φ","continuous drift, κ","discrete volatility, σa","continuous volatility, σ"
08/15/2022,3.23,0.012226984,0.005665436,0.999012178,0.000988311,0.005206472,0.005209045
08/16/2022,3.26,0.012352778,0.005652348,0.998874132,0.001126502,0.005200455,0.005203384
08/17/2022,3.27,0.012479365,0.005651985,0.998851706,0.001148954,0.005200288,0.005203275
08/18/2022,3.24,0.012604762,0.005634893,0.998655868,0.001345036,0.005192419,0.005195911
08/19/2022,3.26,0.012731349,0.005635387,0.998634047,0.001366887,0.005192646,0.005196195
08/22/2022,3.32,0.012860317,0.005623453,0.998449419,0.001551784,0.005187145,0.00519117
08/23/2022,3.29,0.012988492,0.005624165,0.998391902,0.001609392,0.005187473,0.005191648
08/24/2022,3.35,0.013119048,0.00562585,0.998543254,0.001457808,0.005188251,0.005192033
08/25/2022,3.33,0.013248413,0.005601996,0.998306853,0.001694582,0.005177239,0.005181627
08/26/2022,3.36,0.013379365,0.005595424,0.998443814,0.001557398,0.005174202,0.005178231
08/29/2022,3.43,0.013512698,0.005609603,0.99844114,0.001560076,0.005180754,0.005184795
08/30/2022,3.48,0.013648016,0.005616289,0.998427209,0.001574029,0.00518384,0.00518792
08/31/2022,3.5,0.013784127,0.00560891,0.99854464,0.00145642,0.005180433,0.005184206
09/01/2022,3.51,0.013920238,0.005587863,0.998344896,0.001656476,0.005170705,0.005174988
09/02/2022,3.47,0.014055159,0.005590041,0.998279894,0.001721587,0.005171712,0.005176165
09/05/2022,3.47,0.014055159,0.005590041,0.998279894,0.001721587,0.005171712,0.005176165
09/06/2022,3.61,0.014195635,0.005645356,0.998304766,0.001696672,0.005197237,0.005201647
09/07/2022,3.6,0.014335714,0.005636967,0.998408117,0.001593152,0.005193374,0.005197511
09/08/2022,3.6,0.014475397,0.005635476,0.998367407,0.001633927,0.005192687,0.00519693
09/09/2022,3.67,0.014617857,0.005648611,0.99836144,0.001639904,0.005198735,0.005202998
09/12/2022,3.7,0.014761508,0.005628627,0.998152063,0.001849647,0.005189531,0.005194331
09/13/2022,3.92,0.014914286,0.005748216,0.998371349,0.001629979,0.005244371,0.005248645
09/14/2022,3.95,0.015067857,0.005727811,0.998153552,0.001848154,0.005235054,0.005239893
09/15/2022,4,0.01522381,0.005732937,0.9981223,0.001879465,0.005237396,0.005242319
09/16/2022,3.96,0.015378175,0.005733665,0.998039452,0.001962472,0.005237729,0.005242869
09/19/2022,4.05,0.015536111,0.005753278,0.998024377,0.001977577,0.005246679,0.005251868
09/20/2022,4.03,0.015693254,0.005751172,0.99794718,0.00205493,0.005245719,0.00525111
09/21/2022,4.08,0.015852381,0.005755789,0.997905411,0.002096786,0.005247824,0.005253327
09/22/2022,4.08,0.016011508,0.005752894,0.9978329,0.002169452,0.005246504,0.005252196
09/23/2022,4.15,0.016173413,0.005759305,0.997984517,0.002017517,0.005249427,0.005254723
09/26/2022,4.17,0.016335714,0.005758149,0.99792941,0.002072736,0.0052489,0.005254341
