date,value
2022-07-19,1027.06
2022-07-20,1039.55
2022-07-21,1039.27
2022-07-22,1040.69
2022-07-25,1040.79
2022-07-26,1030.85
2022-07-27,1039.2
2022-07-28,1054.1
2022-07-29,1062.53
2022-08-02,1067.11
2022-08-03,1066.19
2022-08-04,1070.43
2022-08-05,1063.32
2022-08-08,1068.17
2022-08-09,1060.22
2022-08-10,1075.89
2022-08-11,1073.05
2022-08-12,1077.79
2022-08-15,1089.43
2022-08-16,1092.61
2022-08-17,1082.78
2022-08-18,1085.37
2022-08-19,1075.48
2022-08-22,1060.3
2022-08-23,1050.87
2022-08-24,1048.46
2022-08-25,1056.3
2022-08-26,1046.74
2022-08-29,1032.9
2022-08-30,1023.76
2022-08-31,1023.17
2022-09-01,1006.39
2022-09-02,1020.35
2022-09-05,1003.25
2022-09-06,1003.62
2022-09-07,1002.09
2022-09-08,1010.15
2022-09-09,1021.18
2022-09-12,1024.48
2022-09-15,988.72
2022-09-16,980.21
2022-09-19,979.01
2022-09-20,979.58
2022-09-21,980.51
2022-09-22,956.69
2022-09-23,943.93
2022-09-26,941.46
2022-09-27,933.53
2022-09-28,936.44
2022-09-29,922.7
2022-09-30,920.62
2022-10-03,919.68
2022-10-04,930.15
2022-10-05,899.9
2022-10-06,899.24
2022-10-07,881.85
2022-10-10,881.48
2022-10-11,881.65
2022-10-12,880.32
2022-10-13,883.57
2022-10-14,876.76
2022-10-17,893.09
2022-10-18,896.21
2022-10-19,895.54
2022-10-20,913.74
2022-10-21,913.39
2022-10-24,924.77
2022-10-25,934.92
2022-10-26,939.49
2022-10-27,932.32
2022-10-28,939.76
2022-10-31,938.33
2022-11-01,933.69
2022-11-02,926.45
2022-11-03,910.59
2022-11-04,906.55
2022-11-07,914.32
2022-11-08,928.67
2022-11-09,920.99
2022-11-10,945.0
2022-11-11,951.13
2022-11-14,955.41
2022-11-15,963.8
2022-11-16,956.82
2022-11-17,951.42
2022-11-18,954.95
2022-11-21,953.84
2022-11-22,961.51
2022-11-23,966.3
2022-11-24,969.04
2022-11-25,967.27
2022-11-28,963.41
2022-11-29,952.06
2022-11-30,950.51
2022-12-01,963.73
2022-12-02,954.69
2022-12-05,954.53
2022-12-06,949.18
2022-12-07,947.32
2022-12-08,952.28
2022-12-09,956.16
2022-12-12,954.22
2022-12-13,967.73
2022-12-14,974.94
2022-12-15,949.39
2022-12-16,941.88
2022-12-19,939.65
2022-12-20,939.65
2022-12-21,945.81
2022-12-22,933.45
2022-12-23,939.49
2022-12-27,941.72
2022-12-28,934.8
2022-12-29,943.64
2022-12-30,938.81
2023-01-02,943.01
2023-01-03,937.22
2023-01-04,948.05
2023-01-05,938.01
2023-01-06,946.21
2023-01-09,959.59
2023-01-10,951.23
2023-01-11,961.5
2023-01-12,971.79
2023-01-13,973.74
2023-01-16,979.35
2023-01-17,979.62
2023-01-18,975.04
2023-01-19,964.51
2023-01-20,972.77
2023-01-23,988.08
2023-01-24,987.89
2023-01-25,986.26
2023-01-26,993.81
2023-01-27,1002.12
2023-01-30,999.63
2023-01-31,1002.09
2023-02-01,1005.81
2023-02-02,1026.14
2023-02-03,1025.79
2023-02-06,1017.39
2023-02-07,1017.5
2023-02-08,1019.86
2023-02-09,1020.57
2023-02-10,1013.04
2023-02-13,1021.31
2023-02-14,1015.42
2023-02-15,1019.11
2023-02-17,1005.28
2023-02-20,1005.91
2023-02-21,997.44
2023-02-22,992.21
2023-02-23,986.87
2023-02-24,986.16
2023-02-27,988.55
2023-02-28,989.65
2023-03-01,984.98
2023-03-02,982.42
2023-03-03,996.2
2023-03-06,1005.69
2023-03-07,995.45
2023-03-08,993.96
2023-03-09,993.76
2023-03-10,981.24
2023-03-13,970.13
2023-03-14,938.57
2023-03-15,837.87
2023-03-16,829.6
2023-03-17,861.13
2023-03-20,934.6
2023-03-21,955.48
2023-03-22,991.4
2023-03-23,992.34
2023-03-24,981.34
2023-03-27,967.88
2023-03-28,974.21
2023-03-29,987.44
2023-03-30,993.44
2023-03-31,999.22
2023-04-03,1003.7
2023-04-04,1013.59
2023-04-05,1006.95
2023-04-06,1007.11
2023-04-11,1008.41
2023-04-12,1010.41
2023-04-13,1013.43
2023-04-14,1012.2
2023-04-17,1013.51
2023-04-18,1017.29
2023-04-19,1016.03
2023-04-20,1016.16
2023-04-21,1016.47
2023-04-24,1016.94
2023-04-25,1014.68
2023-04-26,1011.92
2023-04-27,1012.17
2023-04-28,1024.73
2023-05-02,1015.43
2023-05-03,1016.63
2023-05-04,1019.14
2023-05-05,1028.02
2023-05-08,1029.72
2023-05-09,1028.15
2023-05-10,1031.51
2023-05-11,1031.43
2023-05-12,1031.76
2023-05-15,1035.47
2023-05-16,1033.97
2023-05-17,1035.44
2023-05-19,1046.3
2023-05-22,1047.64
2023-05-23,1045.61
2023-05-24,1036.98
2023-05-25,1040.24
2023-05-26,1049.14
2023-05-30,1052.98
2023-05-31,1050.0
2023-06-01,1056.75
2023-06-02,1065.15
2023-06-05,1069.73
2023-06-06,1067.5
2023-06-07,1068.86
2023-06-08,1073.01
2023-06-09,1075.55
2023-06-12,1077.87
2023-06-13,1089.57
2023-06-14,1091.67
2023-06-15,1094.99
2023-06-16,1097.52
2023-06-19,1098.77
2023-06-20,1096.55
2023-06-21,1094.61
2023-06-22,1093.09
2023-06-23,1091.36
2023-06-26,1092.3
2023-06-27,1093.53
2023-06-28,1097.07
2023-06-29,1097.5
2023-06-30,1106.26
2023-07-03,1108.85
2023-07-04,1110.46
2023-07-05,1110.54
2023-07-06,1101.23
2023-07-07,1104.34
2023-07-10,1103.33
2023-07-11,1107.75
2023-07-12,1116.26
2023-07-13,1120.77
2023-07-14,1124.38
2023-07-17,1126.38
2023-07-18,1127.41
2023-07-19,1133.76
2023-07-20,1130.34
